127.0.0.1 - - [10/Nov/2018:11:44:22 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/login.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/css/estiloGoogle.css HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/css/modal.css HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/css/sistema.css HTTP/1.1" 200 12264
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/css/estilo.css HTTP/1.1" 200 14938
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/js/jquery.js HTTP/1.1" 200 84319
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/images/icon-search.png HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/images/addManifestacao.png HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /sandubas/resources/images/setaHome.png HTTP/1.1" 200 626
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:14 -0200] "GET /ouvidoria/aviso HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:15 -0200] "GET /sandubas/resources/fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:25 -0200] "POST /sandubas/j_spring_security_check HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:27 -0200] "GET /sandubas/pages/principal.xhtml HTTP/1.1" 200 9622
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:48 -0200] "POST /sandubas/pages/principal.xhtml HTTP/1.1" 200 126
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:47:49 -0200] "GET /sandubas/pages/mantermercadoria/administrar.xhtml HTTP/1.1" 200 22523
0:0:0:0:0:0:0:1 - - [10/Nov/2018:11:50:41 -0200] "GET /sandubas/pages/mantermercadoria/administrar.xhtml HTTP/1.1" 200 22521
