127.0.0.1 - - [30/Nov/2018:20:29:05 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:38 -0200] "GET /sandubas/javax.faces.resource/spacer/dot_clear.gif.xhtml?ln=primefaces&v=6.2 HTTP/1.1" 200 42
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:38 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_3d80b3_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:38 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_glass_80_d7ebf9_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 124
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:40 -0200] "GET /sandubas/javax.faces.resource/fa/fontawesome-webfont.woff2.xhtml?ln=primefaces&v=6.2?v=4.7.0 HTTP/1.1" 200 77244
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:41 -0200] "GET /sandubas/pages/manterclassificacaomercadoria/modal/cadastroClassificacaoMercadoria.xhtml?pfdlgcid=684b798d-6cce-4749-b275-8cdf7a7cb777 HTTP/1.1" 200 5655
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:41 -0200] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:44 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_glass_100_e4f1fb_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 119
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:44 -0200] "GET /sandubas/javax.faces.resource/images/ui-bg_glass_50_3baae3_1x400.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 131
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:44 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_2694e8_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [30/Nov/2018:20:31:44 -0200] "GET /sandubas/javax.faces.resource/images/ui-icons_ffffff_256x240.png.xhtml?ln=primefaces-cupertino HTTP/1.1" 200 4369
