127.0.0.1 - - [23/Nov/2018:21:18:21 -0200] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:54 -0200] "GET /sandubas HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:55 -0200] "GET /sandubas/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/login.jsp HTTP/1.1" 200 8771
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/js/jquery.js HTTP/1.1" 200 84319
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/js/bootstrap.min.js HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/css/estilo.css HTTP/1.1" 200 14938
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/css/modal.css HTTP/1.1" 200 2804
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/css/estiloGoogle.css HTTP/1.1" 200 1950
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/css/bootstrap.min.css HTTP/1.1" 200 121200
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/css/sistema.css HTTP/1.1" 200 12264
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/images/icon-search.png HTTP/1.1" 200 515
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/images/addManifestacao.png HTTP/1.1" 200 3000
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /ouvidoria/aviso HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [23/Nov/2018:21:18:56 -0200] "GET /sandubas/resources/images/setaHome.png HTTP/1.1" 200 626
